ranking,departamento,valor_total_adjudicado,valor_billones_cop,valor_formateado,porcentaje_total,porcentaje_acumulado,dif_vs_promedio,indice_relativo
1,distrito_capital_de_bogota,44678668766,0.04,0.04 billones COP,55.6667,55.6667,46.3121,5.9507
2,antioquia,8619430071,0.01,0.01 billones COP,10.7392,66.4059,1.3846,1.148
3,santander,5439462783,0.01,0.01 billones COP,6.7772,73.1831,-2.5774,0.7245
4,no_definido,4177545804,0.0,0.00 billones COP,5.2049,78.388,-4.1497,0.5564
5,casanare,2789280505,0.0,0.00 billones COP,3.4753,81.8633,-5.8793,0.3715
6,valle_del_cauca,2682978093,0.0,0.00 billones COP,3.3428,85.2061,-6.0118,0.3573
7,cesar,2308275320,0.0,0.00 billones COP,2.876,88.0821,-6.4786,0.3074
8,boyaca,1774311134,0.0,0.00 billones COP,2.2107,90.2928,-7.1439,0.2363
9,caldas,1377761156,0.0,0.00 billones COP,1.7166,92.0094,-7.638,0.1835
10,tolima,1233376775,0.0,0.00 billones COP,1.5367,93.5461,-7.8179,0.1643
